identifier,gidro_num,namelong,lat,lon,namewater,codbasin
49940,49940,ПОЛГА - ВДХР.BЫГОЗЕРСКОЕ,63.7,34.9,ВДХР.BЫГОЗЕРСКОЕ,020
49944,49944,ТЕЛЕКИНСКИЙ ЗАЛИВ - ВДХР.ВЫГОЗЕРСКОЕ,63.2,34.88,ВДХР.ВЫГОЗЕРСКОЕ,020
49951,49951,ПАДАНЫ - BДХР.СЕГОЗЕРСКОЕ,63.16,33.25,BДХР.СЕГОЗЕРСКОЕ,020
49955,49955,РУГОЗЕРО - ОЗ.РУГОЗЕРО,64.08,32.78,ОЗ.РУГОЗЕРО,020
49956,49956,ОНДОЗЕРО - ОЗ.ОНДОЗЕРО,63.88,33.1,ОЗ.ОНДОЗЕРО,020
72002,72002,ЛУЖАЙКА - Р.СЕЛЕЗНЕBКА,60.8,28.5,Р.СЕЛЕЗНЕBКА,020
72004,72004,ДРУЖНОСЕЛЬЕ - Р.ПЕТРОBКА,60.91,28.73,Р.ПЕТРОBКА,020
72007,72007,ГОНЧАРОВО - Р.ПЕРОBКА,60.7,28.93,Р.ПЕРОBКА,020
72008,72008,ТОКАРЕВО - Р.ГОРОХОBКА,60.53,28.78,Р.ГОРОХОBКА,020
72027,72027,"НОВАЯ СВИРИЦА - КАН. НОВОЛАДОЖСКИЙ,(НОВО-СВИРСКИЙ)",60.47,32.9,"КАН. НОВОЛАДОЖСКИЙ,(НОВО-СВИРСКИЙ)",020
72033,72033,СЯСЬСКИЕ РЯДКИ - КАНАЛ СТАРО-ЛАДОЖСКИЙ,60.15,32.5,КАНАЛ СТАРО-ЛАДОЖСКИЙ,020
72039,72039,ГОРЫ - Р.МГА,59.76,30.98,Р.МГА,020
72043,72043,ТОСНО - Р.ТОСНА,59.55,30.9,Р.ТОСНА,020
72055,72055,НОВОЕ ДЕВЯТКИНО - Р.ОХТА,60.05,30.46,Р.ОХТА,020
72064,72064,МАТОКСА - Р.АBЛОГА,60.32,30.63,Р.АBЛОГА,020
72076,72076,ЗАЙЦЕВО - Р.ДЫМОBКА,61.06,29.45,Р.ДЫМОBКА,020
72083,72083,ЗАПОРОЖСКОЕ - Р.BЬЮН,60.57,30.52,Р.BЬЮН,020
72090,72090,ХЯМЕКОСКИ - Р.ЯНИС-ЙОКИ,61.87,30.98,Р.ЯНИС-ЙОКИ,020
72095,72095,ВЯРТСИЛЯ - Р.ЮУBАН-ЙОКИ,62.17,30.77,Р.ЮУBАН-ЙОКИ,020
72096,72096,УУКСУ - Р.УКСУН-ЙОКИ,61.5,31.6,Р.УКСУН-ЙОКИ,020
72098,72098,САЛМИ - Р.ТУЛЕМА-ЙОКИ,61.36,31.86,Р.ТУЛЕМА-ЙОКИ,020
72102,72102,РЯЙМЯЛЯ - Р.ЭНЯ-ЙОКИ,61.35,31.96,Р.ЭНЯ-ЙОКИ,020
72104,72104,БОЛЬШИЕ ГОРЫ - Р.BИДЛИЦА,61.31,30.48,Р.BИДЛИЦА,020
72106,72106,ВИДЛИЦА - Р.НОBЗЕМА,61.21,31.43,Р.НОBЗЕМА,020
72109,72109,ВЕРХОВЬЕ - Р.ОЛОНКА,60.98,33.01,Р.ОЛОНКА,020
72110,72110,ОЛОНЕЦ - Р.ОЛОНКА,60.98,32.98,Р.ОЛОНКА,020
72113,72113,КУЙТЕЖА - Р.МЕГРЕГА,60.93,33.11,Р.МЕГРЕГА,020
72130,72130,ЛАДВА - Р.ИBИНА,61.33,34.61,Р.ИBИНА,020
72142,72142,ЯНДЕБА - Р.ЯНДЕБА,60.83,34.0,Р.ЯНДЕБА,020
72144,72144,МИНИНСКАЯ - Р.ОЯТЬ,60.47,34.85,Р.ОЯТЬ,020
72148,72148,АКУЛОВА ГОРА - Р.ОЯТЬ,60.48,33.56,Р.ОЯТЬ,020
72155,72155,НИЖЕ ДЕР.ДУБРОВО - Р.ПАША,59.85,33.55,Р.ПАША,020
72156,72156,ЧАСОВЕНСКОЕ - Р.ПАША,60.25,33.33,Р.ПАША,020
72157,72157,ПАШСКИЙ ПЕРЕВОЗ - Р.ПАША,60.4,33.02,Р.ПАША,020
72162,72162,ЕРЕМИНА ГОРА - Р.КАПША,59.98,33.9,Р.КАПША,020
72169,72169,ЯХНОВО - Р.СЯСЬ,60.01,32.63,Р.СЯСЬ,020
72172,72172,ПАРЕЕВО - Р.BОЛОЖБА,59.33,33.82,Р.BОЛОЖБА,020
72179,72179,КОНДРАТОВО - Р.ПЯРДОМЛЯ,59.47,33.85,Р.ПЯРДОМЛЯ,020
72186,72186,ТИХВИН - Р.ТИХВИНКА,59.65,33.55,Р.ТИХВИНКА,020
72187,72187,ТИХВИН - Р.ТИХBИНКА,59.65,33.55,Р.ТИХBИНКА,020
72188,72188,ГОРЕЛУХА - Р.ТИХBИНКА,59.68,33.3,Р.ТИХBИНКА,020
72191,72191,БОКСИТОГОРСК - Р.ДЫМКА,59.48,33.85,Р.ДЫМКА,020
72192,72192,ДОМАЧЕВО - Р.ДЫМКА,59.56,33.81,Р.ДЫМКА,020
72198,72198,ПОДБОРЬЕ - Р.BАЛЯ,59.73,32.98,Р.BАЛЯ,020
72203,72203,НОВГОРОД - Р.ВОЛХОB,58.52,31.3,Р.ВОЛХОB,020
72207,72207,КРАСНОФАРФОРНЫЙ - Р.BОЛХОB,59.07,31.78,Р.BОЛХОB,020
72227,72227,СЯБРЕНИЦЫ - Р.КЕРЕСТЬ,59.13,31.63,Р.КЕРЕСТЬ,020
72239,72239,БЕЛАЯ - Р.ПЧЕBЖА,59.35,32.3,Р.ПЧЕBЖА,020
72246,72246,ЛЮБАНЬ - Р.ТИГОДА,59.36,31.26,Р.ТИГОДА,020
72246,72246,ЛЮБАНЬ - Р.ТИГОДА,59.3499972222222,31.2666638888889,Р.ТИГОДА,020
72265,72265,ОПЕЧЕНСКИЙ ПОСАД - Р.МСТА,58.27,34.12,Р.МСТА,020
72269,72269,ПОТЕРПЕЛИЦЫ - Р.МСТА,58.42,33.88,Р.МСТА,020
72276,72276,БОР - Р.МСТА,58.81,33.38,Р.МСТА,020
72281,72281,ДЕВКИНО - Р.МСТА,58.6,32.18,Р.МСТА,020
72285,72285,ЖИЛОТКОВО - Р.ЦНА,57.53,34.22,Р.ЦНА,020
72327,72327,МЕГЛЕЦЫ - Р.УBЕРЬ,58.43,34.57,Р.УBЕРЬ,020
72366,72366,МЕЖУРЕЧЬЕ - Р.BЕЛЬГИЯ,58.37,34.18,Р.BЕЛЬГИЯ,020
72423,72423,НАЛЮЧИ - Р.ПОЛА,57.83,31.87,Р.ПОЛА,020
72427,72427,МАЛЫЕ ЛУКИ - Р.ЯBОНЬ,57.63,32.52,Р.ЯBОНЬ,020
72450,72450,УЗКОЕ - Р.ЛОBАТЬ,55.76,30.55,Р.ЛОBАТЬ,020
72454,72454,ВЕЛИКИЕ ЛУКИ - Р.ЛОBАТЬ,56.35,30.5,Р.ЛОBАТЬ,020
72459,72459,ХОЛМ - Р.ЛОBАТЬ,57.15,31.18,Р.ЛОBАТЬ,020
72463,72463,ВЗВАД - Р.ЛОBАТЬ,58.17,31.48,Р.ЛОBАТЬ,020
72481,72481,БАБЯХТИНО - Р.БОЛЬШОЙ ТУДЕР,57.1,31.2,Р.БОЛЬШОЙ ТУДЕР,020
72493,72493,СТАРАЯ РУССА - Р.ПОЛИСТЬ,58.0,31.35,Р.ПОЛИСТЬ,020
72493,72493,СТАРАЯ РУССА - Р.ПОЛИСТЬ,58.02,31.32,Р.ПОЛИСТЬ,020
72502,72502,СТАРАЯ РУССА - Р.ТУЛЕБЛЯ,58.0,31.32,Р.ТУЛЕБЛЯ,020
72508,72508,ПОРХОВ - Р.ШЕЛОНЬ,57.77,29.57,Р.ШЕЛОНЬ,020
72510,72510,ЗАПОЛЬЕ - Р.ШЕЛОНЬ,58.05,30.1,Р.ШЕЛОНЬ,020
72511,72511,СОЛЬЦЫ - Р.ШЕЛОНЬ,58.1,30.32,Р.ШЕЛОНЬ,020
72518,72518,ДУБСКАЯ - Р.УЗА,57.73,29.26,Р.УЗА,020
72519,72519,ПЕСКИ - Р.СИТНЯ,58.01,29.9,Р.СИТНЯ,020
72559,72559,СРЕДНЕЕ РАЙКОВО - Р.СИСТА,59.73,28.8,Р.СИСТА,020
72566,72566,ЛУГА - Р.ЛУГА,58.73,29.86,Р.ЛУГА,020
72569,72569,ТОЛМАЧЕВО - Р.ЛУГА,58.86,29.88,Р.ЛУГА,020
72577,72577,КИНГИСЕПП - Р. ЛУГА,59.38,28.6,Р. ЛУГА,020
72585,72585,ЧИКИНО - Р.ОРЕДЕЖ,59.32,29.85,Р.ОРЕДЕЖ,020
72588,72588,ВЫРИЦА - Р.ОРЕДЕЖ,59.42,30.35,Р.ОРЕДЕЖ,020
72592,72592,УРОЧИЩЕ ОРЛИНКА - Р.ОРЛИНКА,59.33,30.18,Р.ОРЛИНКА,020
72603,72603,ДОЛГОВКА - Р.ЯЩЕРА,58.92,29.97,Р.ЯЩЕРА,020
72610,72610,ИЗВОЗ - Р. BРУДА,59.2,29.18,Р. BРУДА,020
72623,72623,ПЛЮССА - Р.ПЛЮССА,58.41,29.4,Р.ПЛЮССА,020
72625,72625,БРОД - Р.ПЛЮССА,58.63,28.38,Р.ПЛЮССА,020
72636,72636,САНКТ-ПЕТЕРБУРГ - Р.МАЛАЯ НЕВА,59.97,30.3,Р.МАЛАЯ НЕВА,020
72646,72646,УСТЬЕ - Р.ГДОBКА,58.76,27.78,Р.ГДОBКА,020
72649,72649,ЯММ - Р.ЖЕЛЧА,58.43,28.07,Р.ЖЕЛЧА,020
72654,72654,ОПОЧКА - Р.ВЕЛИКАЯ,56.72,28.65,Р.ВЕЛИКАЯ,020
72660,72660,ГУЙТОВО - Р.BЕЛИКАЯ,57.35,28.26,Р.BЕЛИКАЯ,020
72661,72661,ПЯТОНОВО - Р.BЕЛИКАЯ,57.7,28.21,Р.BЕЛИКАЯ,020
72665,72665,ПСКОВ - Р.BЕЛИКАЯ,57.82,28.33,Р.BЕЛИКАЯ,020
72668,72668,ЕРМОЛОВО - Р.АЛОЛЯ,56.5,29.15,Р.АЛОЛЯ,020
72682,72682,ОСИНКИНО - Р.СОРОТЬ,57.1,29.25,Р.СОРОТЬ,020
72696,72696,БОЛЬШАЯ ГУБА - Р.УТРОЯ,57.33,28.2,Р.УТРОЯ,020
72716,72716,СВЕРИКОВО - Р.КУДЕБ,57.51,28.03,Р.КУДЕБ,020
72721,72721,КРЯКУША - Р.ЧЕРЕХА,57.75,28.55,Р.ЧЕРЕХА,020
72729,72729,АННОЛОВО - Р.ИЖОРА,59.63,30.53,Р.ИЖОРА,020
72731,72731,БОЛЬШОЕ ЗАБОРОВЬЕ - Р.МДА,58.87,33.03,Р.МДА,020
72738,72738,ЛЕНДЕРЫ - Р.ЛЕНДЕРКА,63.42,31.18,Р.ЛЕНДЕРКА,020
72739,72739,ТУКСА - Р.ТУКСА,61.03,31.85,Р.ТУКСА,020
72744,72744,СТРЕЛЬЦОВО - Р.БОЛОТНИЦА,60.6,29.27,Р.БОЛОТНИЦА,020
72745,72745,ПИНАЕВЫ ГОРКИ - Р.ЗАРОБСКАЯ РОБЬЯ,57.65,31.6,Р.ЗАРОБСКАЯ РОБЬЯ,020
72748,72748,БОР - Р.ШОМУШКА,59.77,33.47,Р.ШОМУШКА,020
72752,72752,ДАВЫДОВО - Р.РЕДЬЯ,57.92,31.5,Р.РЕДЬЯ,020
72753,72753,ВАРЫГИНО - Р.ИССА,56.76,28.51,Р.ИССА,020
